URL,Coin,Symbol,Market
daostack.io,,GEN,Internet and Infrastructure
libracredit.io,,LBA,Financial Services
bluewhale.foundation,,BWX,DAOs
momlife.io,,BLOOM,Social Media
extrabit.io,,EXB,Mining and Staking
coinjanitor.io,,JAN,Financial Services
sint.global,,SIN,"Platform,Decentralized Exchanges"
ecoinomic.net,,CNC,Financial Services
ico.inspem.com,,INP,"AI,Data"
hashcard.io,,HSHC,Financial Services
tkeycoin.com,,TCD,"DAOs,Internet and Infrastructure"
multiversum.io,,MTV,Cryptosecurity
dav.network,,DAV,Transportation/Logistics/Supply Chain
openfinance.io,,OFN,Investment and Trading
trashdation.com,,TRH,Energy and Utilities
bountie.io,,BNE,eSports
aco.ai,,OAK,Crowdfunding/Crowdsourcing
parsecfrontiers.com,,PARSEC,Events & Entertainment
disciplina.io,,DSCP,Education
bitlumens.com,,BLS,"Environmental Preservation/Ecology,Energy and Utilities"
pumapay.io,,PMA,Payment Systems
momentumtoken.io,,MMTM,Marketing & Social Influencer
cmrcoin.org,,CMR,Financial Services
bidipass.org,,BDP,Identity Protection/Privacy/Reputation
3ccoin.io,,3cCoin,Asset Tokenization
extracredit.io,,XTRA,Education
sandblock.io,,SAT,"Events & Entertainment,Retail,Internet and Infrastructure"
merculet.io,,MVP,DAOs
coinpayo.com,,Payo,Payment Systems
exaking.com,,EXA,"Decentralized Marketplace/Commerce,Social Media"
ico.zeew.eu,,ZEEW,Transportation/Logistics/Supply Chain
apofinance.io,,APO,Digital Asset
vos.ai,,VOSAI,AI
utrum.io,,OOT,Rewards Programs
toss.pro,,TOSS,Decentralized Marketplace/Commerce
faxport.io,,FAS,Sports
aramcocoin.io,,ARM,Energy and Utilities
bace.io,,BACE,Decentralized Exchanges
ico.b2and.com,,B2C,"Platform,Media/News/Content"
bunnytoken.com,,BUNNY,"Events & Entertainment,Adult Entertainment"
mandalaex.com,,MDX,Investment and Trading
tokensale.uulala.io,,UULA,Financial Services
miralab.io,,MIRA,Payment Systems
bubbletone.io,,UMT,Communications/Mobile
dogracing.io,,DGR,"Cryptocurrency,DAOs"
decentralend.co,,DLD,Financial Services
adsigma.io,,ADSi,"Platform,Media/News/Content"
robet.io,,RAC,"Gambling,DAOs"
aitheon.com,,AIC,"Education,Internet and Infrastructure"
unibright.io,,UBT,DAOs
opiria.io,,PDATA,Data
opiria.io,,PDATA,Data
orisspace.io,,Orgon,Communications/Mobile
en.worldwifi.io,,WT,Internet and Infrastructure
ttc.eco,,TTC,Social Media
altumea.io,,MEA,Computing
flux.fund,,FLUX,"Sports,Events & Entertainment"
velix.id,,VXD,Registration and Authenticity
bpay.io,,BUY,Currency: Reserve
eligma.io,,ELI,"AI,DAOs"
scroll.network,,SCRL,Software Development
alax.io,,ALX,Events & Entertainment
sbcplatform.com,,SBCE,Professional Services
squeezer.io,,SQZR,Software Development
globatalent.com,,GBT,"Sports,Crowdfunding/Crowdsourcing"
smarterthancrypto.com,,STC,Investment and Trading
decentralizedml.com,,DML,AI
market.space,,MASP,"Internet and Infrastructure,Sharing Economy: Data Storage"
theabyss.com,,ABYSS,Gaming Currencies
monetizr.io,,MTZ,Gaming Currencies
kairos.com,,Kairos,Identity Protection/Privacy/Reputation
neonexchange.org,,NEX,"Investment and Trading,Payment Systems"
bitrewards.network,,BIT,Rewards Programs
300cubits.tech,,TEU,Transportation/Logistics/Supply Chain
blockcollider.org,,EMB,Payments
kelta.com,,KLT,Decentralized Marketplace/Commerce
token.dreamteam.gg,,DTT,Gaming Currencies
berith.co,,BRT,DAOs
icopass.id,,ICOP,"Financial Services,Internet and Infrastructure,Software Development"
woodpellets.io,,WPC,Energy and Utilities
rootproject.co,,ROOT,Crowdfunding/Crowdsourcing
ico-telegram.org,,GRAM,Cryptocurrency
coin.cashbet.com,,CBC,Gambling
unibright.io,,UBT,DAOs
auctus.org,,AUC,Investment and Trading
coolcousin.com,,CUZ,Travel and Tourism
blok.network,,BLO,DAOs
cryptonia.poker,,CPC,Gaming Currencies
taklimakan.io,,TKLN,Network
avantgarderatings.com,,AVG,"Investment and Trading,Platform"
vendoreum.com,,VENDO,Platform
goldiam.io,,GOL,Investment and Trading
theminingcompany.club,,TMC,
mircoin.co,,MIR,Platform
pentacore.io,,PENT,Investment and Trading
welltrado.io,,WTL,"Financial Services,Investment and Trading"
lendingblock.com,,LND,Investment and Trading
photochain.io,,PHT,Media/News/Content
betrium.co,,BTRM,"Sports,Events & Entertainment,Gambling"
mcfly.aero,,MFL,"Internet and Infrastructure,Transportation/Logistics/Supply Chain"
gig9.io,,GIG,"Sharing Economy: Other,Smart Contract,Mobile"
bobsrepair.com,,BOB,Real Estate
luckbox.com,,LCK,Gambling
lavenir.io,,LVR,Investment and Trading
fundplatform.io,,FUND,Investment and Trading
freezone.one,,FRZ,Investment and Trading
safein.com,,SFN,"Identity Protection/Privacy/Reputation,Payment Systems,Security and Protection"
countinghousefund.com,,CHT,Investment and Trading
virus.center,,VIS,Legal
openassets.io,,OPA,Investment and Trading
ecos.ee,,ECOS,Drugs & Healthcare
sl8pool.io,,SL8,Social Media
bmtokens.com,,BMT,Real Estate
deepwater.systems,,DWT,"Manufacturing,AI"
mainframe.com,,MFT,Messaging
topiacoin.io,,TOPIA,Internet and Infrastructure
ternio.io,,TERN,Media/News/Content
travelsurfing.net,,TSC,Platform
p2psf.org,,P2PS,Communications/Mobile
ubcoin.io,,UBC,Decentralized Marketplace/Commerce
ucmg.io,,UCMG,Internet and Infrastructure
quant.network,,QNT,Investment and Trading
nebula-ai.com,,NBAI,DAOs
waltix.io,,WLTX,Media/News/Content
enbloc.io,,WATT,Energy and Utilities
nexisenergy.com,,ERC,Energy and Utilities
engagementtoken.com,,EGT,Ad Tech
ufoodo.com,,UFT,Professional Services
cellblocks.io,,CLBK,Financial Services
amchart.io,,AMC,Drugs & Healthcare
hybridblock.io,,HYB,Investment and Trading
zenithcard.io,,ZENT,Platform
crowdmachine.com,,CMCT,Software Development
mainframe.com,,MFT,Messaging
mvlchain.io,,MVL,Platform
skrumble.network,,SKM,Social Media
solve.care,,CAN,Drugs & Healthcare
doctailor.com,,DOCT,Drugs & Healthcare
qykbar.io,,QYK,Sharing Economy: Other
flyingmoney.io,,FML,Asset Tokenization
smartvalley.io,,SVT,Platform
dehedge.com,,DHT,Investment and Trading
ico.coinseed.co,,CSD,Financial Services
povcoin.io,,POV,Adult Entertainment
cloudmoolah.io,,MOO,Gaming Currencies
onstellar.com,,ONST,Social Media
modex.tech,,MDX,Investment and Trading
chainium.io,,CHX,Investment and Trading
omnitude.tech,,ECOM,Software Development
appics.com,,XAP,Social Media
sapien.network,,SPN,Rewards Programs
ico.meetngreetme.com,,WEL,Travel and Tourism
winflow.bet,,WIN,"Sports,Gambling"
cryptoloans.top,,LCN,Financial Services
b21.io,,B21,Decentralized Exchanges
receiptcoin.io,,RCT,Identity Protection/Privacy/Reputation
biotron.io,,BTRN,Smart Contract
cryptics.tech,,CRP,"AI,Prediction Market Platforms"
ceek.io,,CEEK,Virtual Reality
introa.io,,INR,Real Estate
icoheadstart.com,,MOAT,Legal
hashbux.io,,HASH,eSports
thedealcoin.com,,DLSD,Decentralized Marketplace/Commerce
fitrova.com,,FRV,Drugs & Healthcare
ico.weevo.city,,WEE,Social Media
bitnation.co,,PAT,DAOs
worldpeacecoin.io,,WPC,Energy and Utilities
eximchain.com,,EXC,Transportation/Logistics/Supply Chain
effect.ai,,AIX,AI
chimaera.io,,CHI,Gaming Currencies
follex.io,,SET,Decentralized Exchanges
ubiatarplay.io,,UAC,Decentralized Marketplace/Commerce
pycoin.io,,PYC,Decentralized Marketplace/Commerce
token.morpheuslabs.io,,MITx,Decentralized Marketplace/Commerce
ico.cappasity.com,,,Virtual Reality
nafen.co,,NFN,Asset Tokenization
moss.land,,MOC,"Virtual Reality,Gaming Currencies"
robotinaico.com,,ROX,"IoT,Energy and Utilities"
iolite.io,,iLT,DAOs
pantos.io,,PAN,DAOs
traxia.co,,TMT,DAOs
icerockmining.io,,ROCK2,Mining and Staking
giftcoin.org,,GFT,Crowdfunding/Crowdsourcing
cryptokami.com,,KAMI,Digital Asset
fcfl.io,,FAN,Sports
tokensale.xchangerate.io,,XRR,Investment and Trading
coinplace.info,,CPL,Investment and Trading
r3sec.com,,R3S,Security and Protection
admine.io,,MCN,Ad Tech
neurochaintech.io,,NCC,Network
livingoffset.io,,LOFF,Environmental Preservation/Ecology
airexe.io,,AIRX,Decentralized Exchanges
ram-token.com,,RAM,Mining and Staking
coinmineaustralia.com,,CMA,Mining and Staking
iiot.tel,,I2,IoT
yggdrash.io,,YEED,DAOs
databrokerdao.com,,TM-DATA,"Decentralized Marketplace/Commerce,IoT,Sharing Economy: Data Storage"
ico.l-pesa.com,,LPK,Financial Services
sintez.global,,SINT,Digital Asset
nexo.io,,NEXO,Financial Services
gifcoin.io,,GIF,Gambling
ceyron.io,,CEY,Equity Token
bct.io,,BCT,Enterprise Apps
ntok.io,,NTOK,Education
tokens.taskfair.com,,TFT,HR and Job Market
mavro.org,,MVR,Scam
tokensale.shopin.com,,SHPN,Rewards Programs
localcoinswap.com,,LCS,Decentralized Marketplace/Commerce
bethereum.com,,BTHR,Gambling
plaza.systems,,PLAZA,Decentralized Marketplace/Commerce
bitguild.io,,PLAT,Gaming Currencies
crowdsale.celsius.network,,CEL,Financial Services
ico.etherty.com,,ETY,Real Estate
lancechain.com,,LANC,HR and Job Market
antiqmall-ico.io,,AMT,Decentralized Marketplace/Commerce
sunmoney.solar,,SMT,Energy and Utilities
cryptelo.com,,CTL,Security and Protection
bitnam.io,,VIET,Currency: Reserve
talenthon.io,,TCOIN,HR and Job Market
binkd.com,,BINK,Decentralized Exchanges
vanywhere.com,,VANY,HR and Job Market
moxy.one,,SPEND,Financial Services
academytoken.com,,ACAD,Education
vrt.world,,VRT,Events & Entertainment
2100news.io,,NWS,Media/News/Content
baanx.com,,BXX,Financial Services
thought.live,,THT,Data
tokendraft.com,,TKD,Gaming Currencies
thought.live,,THT,Data
rxeal.com,,RXL,Real Estate
ishook.io,,SHK,Media/News/Content
sprintx.io,,SPX,Decentralized Exchanges
signals.network,,SGN,Investment and Trading
on.live,,ONL,Media/News/Content
cryptozonmarket.com,,ZBT,Decentralized Marketplace/Commerce
zupply.net,,ZUP,Manufacturing
dminetoken.com,,DMT,Mining and Staking
ico.thrivelabs.io,,THRT,Ad Tech
kript.io,,KRPT,Investment and Trading
coinve.st,,COIN,"Financial Services,Investment and Trading"
22xfund.com,,22X,Investment and Trading
billsb.org,,BLS,"Environmental Preservation/Ecology,Energy and Utilities"
corexcoin.io,,COREX,"Financial Services,Investment and Trading"
multiven.io,,MTC,Decentralized Marketplace/Commerce
phitoken.io,,PHI,"AI,Legal,Data,Investment and Trading"
a2btaxi.io,,TAXI,Transportation/Logistics/Supply Chain
conduitcomputing.com,,RAM,Mining and Staking
cardstack.com,,CARD,DAOs
peermountain.com,,PMT,Identity Protection/Privacy/Reputation
ico.obirum.com,,OBR,Security and Protection
dapps.ibuildapp.com,,DAP,Digital Asset
datarius.io,,DTRC,Financial Services
futurecoinlight.com,,FTC,Financial Services
otppay.io,,OTP,Payment Systems
the4thpillar.io,,FOUR,"HR and Job Market,Identity Protection/Privacy/Reputation"
smartsignals.io,,SST,Identity Protection/Privacy/Reputation
tge.selfllery.com,,YOU,Social Media
sol-invictus.pro,,AGS,Agriculture
loyakk.io,,LYK,Network
ico.truegame.io,,TGAME,"Gambling,DAOs"
nkor.io,,NKR,Data
paysura.com,,IPC,Rewards Programs
orbisweb.org,,OBT,"Internet and Infrastructure,Software Development"
ico.thefandome.com,,FDT,"Sports,Media/News/Content"
corl.io,,CRL,Cryptosecurity
policypal.network,,PAL,Travel and Tourism
repu.io,,REPU,Identity Protection/Privacy/Reputation
ico.kickcity.io,,KCY,Media/News/Content
birdchain.io,,BIRD,Messaging
belugapay.com,,BBI,Payment Systems
b1x.io,,B1x,Smart Contract
tokenlend.io,,TLN,"Real Estate,Investment and Trading"
luxcess-group.com,,LXC,Cryptosecurity
mangostartups.com,,MGO,Investment and Trading
srcoin.info,,SRC,Real Estate
naviaddress.io,,NVT,Registration and Authenticity
foodimus.com,,FDM,Social Media
truereply.com,,TRUE,Professional Services
amon.tech,,AMN,Financial Services
renta.city,,REC,Sharing Economy: Other
tomocoin.io,,TMC,
rentaway.com,,RTW,Real Estate
medichain.online,,MCU,Drugs & Healthcare
emmares.io,,EMA,Media/News/Content
leadcoin.network,,LDC,Data
magmacoin.org,,MGM,Investment and Trading
ico.callback.plus,,CBP,Professional Services
nedviga.realty,,NDV,"Real Estate,Investment and Trading"
essentia.one,,ESS,Identity Protection/Privacy/Reputation
joyso.io,,JOY,Decentralized Exchanges
ico.curecos.com,,COT,Social Media
equi.capital,,EQUI,Cryptosecurity
jpcompany.solutions,,JPT,Investment and Trading
drgtoken.io,,DRG,Gambling
xovercoin.com,,XOV,Financial Services
profede.com,,PATO,Data
lescovex.com,,LCX,Decentralized Exchanges
remecoin.io,,REME,Rewards Programs
medichain.online,,MCU,Drugs & Healthcare
loki.network,,LOKI,Cryptocurrency
newlife.ai,,NWC,Platform
konios.com,,KON,Decentralized Exchanges
pikciochain.com,,PKC,Data
blockmesh.io,,MESH,Communications/Mobile
rentycoin.org,,RTC,Real Estate
ethearnal.com,,ERT,Internet and Infrastructure
hack.hf.cx,,HACK,Financial Services
silverbit.co,,SLV,Currency: Reserve
geekzcode.com,,GUT,Software Development
deepradiology.com,,,Virtual Reality
ip.sx,,IPSX,DAOs
adhive.tv,,ADH,AI
tokens.pitch.ventures,,PITCH,Professional Services
tokengoplatform.com,,GPT,Digital Asset
votem.io,,VAST,Voting
altairvr.io,,ALT,Virtual Reality
allpublicart.io,,APA,Registration and Authenticity
swisstok.io,,SWS,Business Services
seele.pro,,SEELE,DAOs
playhall.io,,PHT,Media/News/Content
suchapp.io,,SPS,Messaging
propertycoin.re,,PCX,Real Estate
icloudsec.com,,CLOUD,Network
purplethrone.com,,TM-PPC,Events & Entertainment
skraps.io,,SKRP,Financial Services
joinwell.io,,WELL,Drugs & Healthcare
tv-two.com,,TTV,Social Media
blockfollow.com,,BFN,Education
safehaven.io,,SHA,"Smart Contract,Investment and Trading"
crypto-angel.com,,ANGEL,AI
valid.global,,VLD,Identity Protection/Privacy/Reputation
morpheus.network,,MORPH,Transportation/Logistics/Supply Chain
helveticoin.io,,HEL,Investment and Trading
loyakk.io,,LYK,Network
behaviour.exchange,,BEX,AI
sharder.org,,SS,Big Data
wowoonet.com,,WWB,Media/News/Content
tokensale.simplyvitalhealth.com,,HLTH,Drugs & Healthcare
pecun.io,,PCO,"Platform,Investment and Trading"
openfuture.io,,OPEN,Blockchain Service
tradershub.io,,THT,"AI,Data"
takeprofit.io,,XTP,Investment and Trading
clinicoin.io,,CLIN,Drugs & Healthcare
basisneuro.com,,BNST,Virtual Reality
triforcetokens.io,,TFT,HR and Job Market
requitix.io,,RQX,"Retail,Decentralized Marketplace/Commerce"
view.ly,,VIEW,Social Media
friendz.io,,FDZ,Digital Asset
apisplatform.io,,APIS,Digital Asset
cryptomon.io,,CMN,Investment and Trading
trustedhealth.io,,TDH,Drugs & Healthcare
futourist.io,,FTR,Rewards Programs
polyswarm.io,,NCT,Security and Protection
beautiq.cc,,BTQ,Retail
deedcoinlaunch.com,,DEED,Real Estate
smarttaylor.io,,TAY,Investment and Trading
pumped-crypto.io,,MTT,Media/News/Content
talentoken.info,,TAL,Entertainment
kora.network,,KNT,Financial Services
graphgrail.com,,GAI,AI
goldencurrency.world,,PGCT,"Financial Services,Internet and Infrastructure"
graphgrail.com,,GAI,AI
endor.com,,EDR,Prediction Market Platforms
cryptectum.com,,TECTUM,Real Estate
ico.hush.lu,,USH,Financial Services
geneticimmunity.com,,DMV,Drugs & Healthcare
ip2pglobal.io,,TWQ,Financial Services
staps.io,,STB,Fitness
moscoin.io,,MOS,Gambling
odem.io,,ODEM,Education
fabcoin.co,,FAB,DAOs
bnktothefuture.com,,BFT,Investment and Trading
routecoin.io,,RC,Internet and Infrastructure
bittlend.io,,BTL,Financial Services
arkadialending.com,,AAA,Financial Services
xfermoney.io,,XFM,"Internet and Infrastructure,Investment and Trading,Software Development"
credits.com,,CS,DAOs
fabrictoken.io,,FT,DAOs
otcrit.org,,OTC,Investment and Trading
frasindo.com,,FRAS,Business Services
bestmeta.gg,,BMT,Real Estate
swytch.io,,SET,Decentralized Exchanges
aicosoft.de,,AIOM,Drugs & Healthcare
etherlegends.io,,ELET,Events & Entertainment
talenter.io,,TLT,"Platform,Cryptocurrency,Investment and Trading"
pangeacoins.org,,PGN,Agriculture
exxo.io,,EXXO,Decentralized Exchanges
minerone.io,,MIO,Mining and Staking
sphinxcoin.io,,SPX,Decentralized Exchanges
attentionnetwork.io,,ATTN,Ad Tech
niqbix.com,,NQBX,IoT
buycreditcoin.com,,CRE,Financial Services
concertvr.io,,CVT,"Virtual Reality,Art & Music"
minerone.io,,MIO,Mining and Staking
workcoin.net,,WRK,HR and Job Market
robotcache.com,,IRON,Decentralized Marketplace/Commerce
coinspark.io,,CoinSpark,Digital Asset
tokensale.ponderapp.co,,PON,Events & Entertainment
cointoken.io,,CCOIN,Retail
token.concierge.io,,CGE,Travel and Tourism
dropd.tokenlab.io,,DPD,Art & Music
cacaoshares.com,,CCS,Environmental Preservation/Ecology
exenium.io,,XNT,"Financial Services,Investment and Trading"
vimarket.io,,VIT,Retail
remme.io,,REM,Identity Protection/Privacy/Reputation
narrative.network,,NRV,Social Media
jtoken.co,,JTK,eSports
ethfinex.com,,NEC,Investment and Trading
matchroom.io,,MRT,Social Media
refereum.com,,RFR,"HR and Job Market,Decentralized Marketplace/Commerce"
jury.online,,JOT,Investment and Trading
myoddz.bet,,ODDZ,Gambling
buzzshow.com,,GLDY,Media/News/Content
affiliatecoin.io,,AFL,"Virtual Reality,DAOs"
smarthealthcare.today,,SHC,Drugs & Healthcare
akaiito.io,,AIC,"Education,Internet and Infrastructure"
knowledge.io,,KNW,Decentralized Marketplace/Commerce
gturbo.io,,GTR,Asset Tokenization
clickgem.com,,CGM,Payment Systems
porn-x.com,,PORNX,Adult Entertainment
fairgrounds.bet,,FGD,Gambling
cryptotask.org,,CTF,HR and Job Market
neurogress.io,,NRG,Drugs & Healthcare
discoveroo.io,,DCO,Travel and Tourism
banca.world,,BANCA,"Financial Services,Investment and Trading"
mindlink.co,,ML,Education
daxt.io,,DAXT,Investment and Trading
ehab.co,,EHB,"Real Estate,Investment and Trading"
socialmedia.market,,SMTs,Marketing & Social Influencer
traceto.io,,T2T,"Cryptocurrency,DAOs"
gamblica.com,,GMBC,Gambling
realistatoken.com,,RET,Real Estate
theblock-bank.com,,BBRT,Financial Services
kwhcoin.com,,KWH,Energy and Utilities
skaratoken.com,,SKRT,Gaming Currencies
dock.io,,DOCK,Data
trenditstudios.com,,TND,Rewards Programs
hint.to,,HINT,Data
cryptyk.io,,CTK,Sharing Economy: Data Storage
ethichub.com,,ETHIX,Financial Services
yooping.com,,YPNG,Communications/Mobile
virtualchangeroom.co,,VCR,Marketing & Social Influencer
joiniconic.com,,NIC,"Financial Services,Investment and Trading"
dether.io,,DTR,Financial Services
fintrux.com,,FTX,Financial Services
dorado.tech,,DOR,Transportation/Logistics/Supply Chain
capdax.com,,XCD,Platform
foxtrading.io,,FXT,Investment and Trading
moentum.com,,MOM,"Financial Services,Investment and Trading"
cryptaldash.com,,CRD,Decentralized Exchanges
kryll.io,,KRL,Investment and Trading
repux.io,,REPUX,Data
drivr.network,,DVR,"Sharing Economy: Other,AI"
ihtcoin.com,,IHT,Real Estate
tokensale.trustabit.io,,TABS,Transportation/Logistics/Supply Chain
igobit.com,,GO,Blockchain Service
faceter.io,,FACE,AI
shift.cash,,SCASH,Financial Services
bridgeprotocol.io,,IAM,Identity Protection/Privacy/Reputation
zebi.io,,ZCO,Drugs & Healthcare
sentinel-chain.org,,SENC,Financial Services
mosaic.io,,MZX,Data
kleostoken.com,,KLS,Rewards Programs
cnntoken.io,,CNN,Media/News/Content
baltic.fund,,,Virtual Reality
graz-ico.com,,GRZ,Gambling
afsecurity.io,,AFS,AI
cubaaz.io,,CC,Travel and Tourism
tokensale.datawallet.com,,DTX,"DAOs,Data"
verime.mobi,,VRM,Social Media
ztrust.tech,,ZTR,Security and Protection
hotoken.io,,HTKN,"Retail,Internet and Infrastructure,Software Development"
hcoinvestments.com,,HYDE,Investment and Trading
baikalika.io,,BKL,Environmental Preservation/Ecology
havven.io,,HAV,Currency: Stable/Pegged
quantum1net.com,,QEK,"Security and Protection,Software Development"
dnn.media,,DNN,"Communications/Mobile,Media/News/Content"
ico.paymon.org,,PMNT,"Platform,Internet and Infrastructure,Software Development"
fuzex.co,,FXT,Investment and Trading
windingtree.com,,LIF,Travel and Tourism
brixby.io,,BRICK,Sharing Economy: Other
fusion.org,,FSN,Financial Services
emuproject.org,,EMU,"Events & Entertainment,Software Development"
crowdstart.capital,,XSC,Rewards Programs
platform.hurify.co,,HUR,Platform
wepower.network,,WPR,Energy and Utilities
ellcrys.co,,ELL,"Financial Services,Internet and Infrastructure"
patron-ico.io,,PAT,DAOs
unaproject.org,,UNA,Currency: Regional
onplace.io,,OPL,Investment and Trading
legolas.exchange,,LGO,Platform
bcdiploma.com,,BCDT,Education
goldbitscoin.com,,Gold Bits Coin,Cryptocurrency
persona.im,,PRS,Social Media
jwcventures.com,,JWC,Platform
nuvus.io,,GET,"Agriculture, Drugs & Healthcare"
blocksquare.io,,BST,"Real Estate,Platform,Cryptocurrency,Software Development"
tradeplayz.com,,TPZ,Investment and Trading
kprms.com,,KPR,Investment and Trading
arbitracoin.com,,ATC,Financial Services
kahnchat.com,,KCH,Communications/Mobile
wizzle.io,,WZI,Payment Systems
aktie.social,,AKT,Social Media
zenome.io,,ZNA,"Platform, Drugs & Healthcare"
hashgains.com,,HGS,Investment and Trading
chain-id.org,,CID,"Legal,Education,Travel and Tourism"
bitpaction.com,,BPS,"Digital Asset,Investment and Trading"
cryptobite.co,,CBC,Gambling
vicetoken.com,,VIT,Retail
coinzai.com,,CZI,Currency: Reserve
provoco.me,,VOCO,Media/News/Content
eiracube.io,,RETT,Decentralized Marketplace/Commerce
sgpay.org,,SGP,Payment Systems
shivers.io,,SHVR,"Platform,Events & Entertainment"
waxex.africa,,WAXEX,Digital Asset
ico.guide.sc,,GUIDE,Travel and Tourism
smartgenie.io,,SMAG,Social Media
envienta.com,,ENV,Investment and Trading
dolos.co,,DOL,Financial Services
peerity.io,,PEER,"Platform,Communications/Mobile,Cryptocurrency,Internet and Infrastructure"
opporty.com,,OPP,Platform
ultrayolo.com,,YOLO,Gambling
tippereconomy.io,,TIPR,Financial Services
shopcorn.jp,,SHOP,Retail
invest.invacio.com,,INV,Investment and Trading
corusblock.com,,CBC,Gambling
beeasy.io,,ETKN,"Financial Services,Investment and Trading"
europeancryptobank.io,,ECB,Financial Services
bbcoin.tradove.com,,BBCoin,Platform
vinchain.io,,VIN,Registration and Authenticity
herotoken.io,,HERO,Financial Services
goldbitscoin.com,,Gold Bits Coin,Cryptocurrency
nuco.io,,AION,Social Media
iungo.network,,ING,"Network,Communications/Mobile,Internet and Infrastructure"
kodakcoin.com,,KODAKCOIN,Anti-Counterfeiting
reportercommunity.tech,,NEWS,Registration and Authenticity
hermeschain.co,,HMC,Sports
pharmabit.io,,PMB,Drugs & Healthcare
wystoken.org,,WYS,Decentralized Marketplace/Commerce
secure.livetree.com,,SED,Investment and Trading
labrys.io,,LAB,Financial Services
iqeon.io,,IQN,Gaming Currencies
trinity.tech,,TNC,Financial Services
bioritmai.com,,BRM,Drugs & Healthcare
et4.io,,ET4,Media/News/Content
vestarin.io,,VST,Decentralized Marketplace/Commerce
royalcash.io,,RCC,Gambling
heartbout.com,,HBC,Social Media
xpowerminer.net,,XPS,"Energy and Utilities,Mining and Staking"
rblock.co,,CVT,"Virtual Reality,Art & Music"
whitemoney.io,,WCO,Currency: Anonymous
stabilise.io,,STB,Fitness
daneel.io,,DAN,AI
docademic.com,,MTC,Decentralized Marketplace/Commerce
dubtokens.com,,Dubtokens,Events & Entertainment
trevilabs.co,,TT,Financial Services
wawllet.com,,WIN,"Sports,Gambling"
gncompass.com,,GNCT,Financial Services
elexapay.com,,ELEXA,Currency: Reserve
ftwtokens.io,,FTW,"Events & Entertainment,DAOs,Media/News/Content"
globalfinances.io,,GFXT,Investment and Trading
advalorem.io,,VLR,"Retail,Cryptocurrency,Decentralized Marketplace/Commerce"
nucleus.vision,,NCASH,DAOs
paygine.com,,PGC,"Retail,Financial Services"
bitcoiin.com,,B2G,Investment and Trading
billpoker.io,,BPT,Gambling
